Crash Severity ,Cities / Municipalities,Crash Location,Latitude - Geocoded,Longitude - Geocoded
Fatal Injury,Newark City,I-78,40.712245,-74.200465
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.714189,-74.138974
Fatal Injury,Newark City,I-78,40.716348,-74.212696
Fatal Injury,Newark City,US 1,40.690675,-74.191167
Fatal Injury,Newark City,I-78,40.710574,-74.174822
Fatal Injury,Newark City,I-280,40.750691,-74.183306
Fatal Injury,Newark City,US 1,40.703252,-74.184144
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.707195,-74.150761
Fatal Injury,Newark City,BROAD ST,40.725442,-74.178089
Fatal Injury,Newark City,ESSEX COUNTY 602,40.710317,-74.214248
Fatal Injury,Newark City,MADISON AVE **,40.725179,-74.208207
Fatal Injury,Newark City,ESSEX COUNTY 601,40.710837,-74.224198
Fatal Injury,Newark City,NJ 21,40.730819,-74.168458
Fatal Injury,Newark City,RIDGEWOOD AVE **,40.714759,-74.197689
Fatal Injury,Newark City,MOUNT PROSPECT AVE,40.766725,-74.16986
Fatal Injury,Newark City,BROAD ST,40.728835,-74.176029
Fatal Injury,Newark City,BROAD ST,40.723203,-74.179445
Fatal Injury,Newark City,ELIZABETH AVE,40.720715,-74.188763
Fatal Injury,Newark City,BROAD ST,40.741403,-74.169046
Fatal Injury,Newark City,NJ 21,40.755204,-74.167149
Fatal Injury,Newark City,ESSEX COUNTY 603,40.732326,-74.200072
Fatal Injury,Newark City,I-78,40.709587,-74.161188
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.70848,-74.149847
Fatal Injury,Newark City,1ST ST / BERGEN ST,40.723263,-74.199445
Fatal Injury,Newark City,US 22,40.70038,-74.209776
Fatal Injury,Newark City,US 1,40.7136,-74.154935
Fatal Injury,Newark City,I-78,40.7103,-74.179952
Fatal Injury,Newark City,I-78,40.709587,-74.161188
Fatal Injury,Newark City,15TH AVE / COURT ST / LANG ST / WALNUT ST,40.735604,-74.193314
Fatal Injury,Newark City,BRAGAW AVE **,40.717228,-74.217165
Fatal Injury,Newark City,ESSEX COUNTY 605,40.735263,-74.237206
Fatal Injury,Newark City,PACIFIC ST,40.726457,-74.166333
Fatal Injury,Newark City,NJ 21,40.728877,-74.170373
Fatal Injury,Newark City,NJ 21,40.733298,-74.16684
Fatal Injury,Newark City,NJ 21,40.733298,-74.16684
Fatal Injury,Newark City,US 1,40.706909,-74.180421
Fatal Injury,Newark City,NJ 21,40.744057,-74.16735
Fatal Injury,Newark City,US 1,40.7228,-74.14583
Fatal Injury,Newark City,ALDINE ST **,40.715232,-74.213706
Fatal Injury,Newark City,MONTCLAIR AVE **,40.778182,-74.16023
Fatal Injury,Newark City,US 1,40.708286,-74.177588
Fatal Injury,Newark City,US 1,40.689045,-74.192039
Fatal Injury,Newark City,NJ 21,40.712908,-74.183779
Fatal Injury,Newark City,RAYMOND BLVD,40.733938,-74.139392
Fatal Injury,Newark City,I-280,40.751262,-74.187249
Fatal Injury,Newark City,CLINTON AVE,40.725539,-74.181539
Fatal Injury,Newark City,I-78,40.716168,-74.210727
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.718637,-74.134382
Fatal Injury,Newark City,BERGEN ST,40.723263,-74.199445
Fatal Injury,Newark City,VERONA AVE,40.77931,-74.155906
Fatal Injury,Newark City,LINCOLN PARK **,40.725878,-74.179568
Fatal Injury,Newark City,ESSEX COUNTY 601,40.71128,-74.225001
Fatal Injury,Newark City,8TH ST / ROSEVILLE AVE,40.767845,-74.184582
Fatal Injury,Newark City,ROUTE 508,40.743713,-74.176592
Fatal Injury,Newark City,NJ 21,40.742317,-74.166424
Fatal Injury,Newark City,US 1,40.690675,-74.191167
Fatal Injury,Newark City,NJ 21,40.755645,-74.167085
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.704555,-74.15235
Fatal Injury,Newark City,SCHLEY AVE **,40.71151,-74.224679
Fatal Injury,Newark City,NJ 27,40.700857,-74.196384
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.70052,-74.154515
Fatal Injury,Newark City,ROUTE 508,40.7485,-74.194652
Fatal Injury,Newark City,BROAD ST,40.746227,-74.170222
Fatal Injury,Newark City,ROUTE 510,40.745073,-74.217784
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.703217,-74.153081
Fatal Injury,Newark City,US 1,40.704696,-74.182907
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.696648,-74.15713
Fatal Injury,Newark City,ESSEX COUNTY 603,40.732915,-74.197077
Fatal Injury,Newark City,ROUTE 510,40.734875,-74.169635
Fatal Injury,Newark City,NJ 21,40.745785,-74.167071
Fatal Injury,Newark City,ROUTE 510,40.735001,-74.170137
Fatal Injury,Newark City,BROAD ST,40.749996,-74.169907
Fatal Injury,Newark City,FERRY ST,40.732753,-74.133158
Fatal Injury,Newark City,ELIZABETH AVE,40.713104,-74.193521
Fatal Injury,Newark City,GARDEN STATE PARKWAY,40.748793,-74.212492
Fatal Injury,Newark City,NJ 21,40.755645,-74.167085
Fatal Injury,Newark City,IRVINE TURNER BLVD,40.723886,-74.192669
Fatal Injury,Newark City,ROUTE 510,40.745072,-74.21817
Fatal Injury,Newark City,ESSEX COUNTY 603,40.729829,-74.213455
Fatal Injury,Newark City,ADAMS ST,40.724924,-74.16126
Fatal Injury,Newark City,NJ 27,40.688537,-74.203763
Fatal Injury,Newark City,ADAMS ST,40.726299,-74.160592
Fatal Injury,Newark City,18TH AVE,40.730214,-74.196412
Fatal Injury,Newark City,ROUTE 510,40.742695,-74.206661
Fatal Injury,Newark City,ROUTE 510,40.736175,-74.180583
Fatal Injury,Newark City,NJ 21,40.734992,-74.1662
Fatal Injury,Newark City,RAYMOND BLVD,40.737499,-74.171052
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.703225,-74.153082
Fatal Injury,Newark City,I-280,40.752258,-74.190855
Fatal Injury,Newark City,ROUTE 509,40.746259,-74.209324
Fatal Injury,Newark City,ESSEX COUNTY 619,40.740801,-74.230657
Fatal Injury,Newark City,ROUTE 508,40.744557,-74.179246
Fatal Injury,Newark City,NJ 21,40.740741,-74.165462
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.708488,-74.149849
Fatal Injury,Newark City,I-78,40.716271,-74.216587
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.707204,-74.150762
Fatal Injury,Newark City,ROUTE 506 SPUR,40.758758,-74.175331
Fatal Injury,Newark City,BERGEN ST,40.739689,-74.1928
Fatal Injury,Newark City,BERGEN ST,40.751361,-74.185813
Fatal Injury,Newark City,15TH AVE,40.736878,-74.19904
Fatal Injury,Newark City,HAWTHORNE AVE,40.718508,-74.211508
Fatal Injury,Newark City,RAYMOND BLVD,40.73673,-74.168321
Fatal Injury,Newark City,RAYMOND BLVD,40.733661,-74.145518
Fatal Injury,Newark City,LAKE ST,40.776916,-74.170455
Fatal Injury,Newark City,DOREMUS AVE,40.709978,-74.132221
Fatal Injury,Newark City,I-78,40.712685,-74.224859
Fatal Injury,Newark City,LAFAYETTE ST,40.732324,-74.17088
Fatal Injury,Newark City,NJ 21,40.733306,-74.166841
Fatal Injury,Newark City,ESSEX COUNTY 605,40.746209,-74.231871
Fatal Injury,Newark City,BROAD ST,40.73647,-74.171647
Fatal Injury,Newark City,I-78,40.715935,-74.21848
Fatal Injury,Newark City,NJ HIGHWAY 21,40.740741,-74.165462
Fatal Injury,Newark City,US 1,40.721926,-74.147054
Fatal Injury,Newark City,NJ HIGHWAY 21,40.771364,-74.156745
Fatal Injury,Newark City,I95 N J TPKE,40.695388,-74.158056
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.729911,-74.126613
Fatal Injury,Newark City,NJ 27,40.704836,-74.194026
Fatal Injury,Newark City,N 6TH ST,40.77292,-74.179608
Fatal Injury,Newark City,MARKET ST,40.732618,-74.158889
Fatal Injury,Newark City,I-95 N.J. TURNPIKE-WEST ALIGNMENT,40.728934,-74.128738
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.708488,-74.149849
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.694113,-74.15899
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.704563,-74.152351
Fatal Injury,Newark City,ROUTE 509,40.746259,-74.209324
Fatal Injury,Newark City,E. KINNEY ST,40.732075,-74.18901
Fatal Injury,Newark City,NJ 27,40.694511,-74.200184
Fatal Injury,Newark City,CLINTON PL,40.720623,-74.210592
Fatal Injury,Newark City,I-78,40.712253,-74.200467
Fatal Injury,Newark City,CLINTON PL,40.722248,-74.21026
Fatal Injury,Newark City,ROUTE 510,40.738812,-74.1913
Fatal Injury,Newark City,BROADWAY,40.777034,-74.157616
Fatal Injury,Newark City,NJ 21,40.726551,-74.172742
Fatal Injury,Newark City,SUSSEX AVE,40.749283,-74.187105
Fatal Injury,Newark City,US 1,40.734747,-74.124323
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.739458,-74.123226
Fatal Injury,Newark City,ROUTE 508,40.745593,-74.182609
Fatal Injury,Newark City,SUSSEX AVE,40.744088,-74.17669
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.725558,-74.131694
Fatal Injury,Newark City,NJ 21,40.757386,-74.166702
Fatal Injury,Newark City,ROUTE 510,40.738812,-74.1913
Fatal Injury,Newark City,I-95 N.J. TURNPIKE,40.707204,-74.150762
Fatal Injury,Newark City,NJ 21,40.708722,-74.178153
Fatal Injury,Newark City,DAYTON ST,40.695785,-74.202552
Fatal Injury,Newark City,CLINTON AVE,40.724353,-74.184147
Fatal Injury,Newark City,I-280,40.752644,-74.192724
Fatal Injury,Newark City,SPRINGFIELD AVE,40.731043,-74.206716
Fatal Injury,Newark City,NYE AVE,40.743713,-74.184179
Fatal Injury,Newark City,NORFOLK ST,40.743713,-74.184179
